node_key,poi_base,lat,lon,osm_name,geo_score,geo_method
GEYSERS FULTON TRANSMISSION,GEYSERS-FULTON,38.4977484,-122.7605687,Fulton Substation,0.7,line-one-end
IVANPAH,IVANPAH SUBSTATION,35.5444422,-115.4687507,Ivanpah Substation,1.0,exact
GOLD HILL EIGHT MILE LINES,GOLD HILL-EIGHT MILE,38.3581642,-121.256827,Gold Hill Substation | Eight Mile Substation,1.0,line-midpoint
GOLD HILL EIGHT MILE ROAD,GOLD HILL-EIGHT MILE ROAD,38.6575814,-121.1368126,Gold Hill Substation,0.7,line-one-end
GOLDTOWN,GOLDTOWN SUBSTATION,,,,0.88,none
GOLDTOWN CORUM,GOLDTOWN-CORUM,,,,0.88,none
GOLDTOWN CORUM OR GOLDTOWN LANCASTER,GOLDTOWN-CORUM OR GOLDTOWN-LANCASTER,,,,0.88,none
GOLDTOWN LANCASTER,GOLDTOWN-LANCASTER,,,,0.88,none
GOLETA,GOLETA SUBSTATION,34.4686423,-119.8843266,Goleta Substation,1.0,exact
GORMAN KERN RIVER,GORMAN-KERN RIVER,34.7904804,-118.827152,Gorman Substation,0.7,line-one-end
GRANT EASTSHORE,GRANT - EASTSHORE #2,37.6481294,-122.1383307,Grant Substation | Eastshore Substation,1.0,line-midpoint
GREGG,GREGG SUBSTATION,,,,0.67,none
GUERNSEY,GUERNSEY SUBSTATION,,,,0.71,none
GUERNSEY HENRIETTA,GUERNSEY - HENRIETTA,36.2421264,-119.9028971,Henrietta Substation,0.7,line-one-end
GLENN,GLENN,39.7778665,-122.1426369,Glenn Substation,1.0,exact
EL CASCO,EL CASCO,,,,0.75,none
EL DORADO,EL DORADO,,,,0.94,none
EL DORADO IVANPAH,EL DORADO-IVANPAH,35.5444422,-115.4687507,Ivanpah Substation,0.7,line-one-end
EL SEGUNDO,EL SEGUNDO,,,,0.63,none
EL SEQUNDO,EL SEQUNDO,,,,0.63,none
ELDORADO 500,ELDORADO 500/,,,,0.8,none
ELDORADO BAKER COOL WATER DUNN SIDING MOUNTAIN PASS,ELDORADO-BAKER-COOL WATER-DUNN SIDING-MOUNTAIN PASS,35.538117,-115.54146245,Eldorado Substation | Baker Substation,1.0,line-midpoint
ELDORADO BAKER COOLWATER DUNN SIDING MOUNTAIN PASS,ELDORADO-BAKER- COOLWATER-DUNN SIDING-MOUNTAIN PASS,35.538117,-115.54146245,Eldorado Substation | Baker Substation,1.0,line-midpoint
ELDORADO IVANPAH,ELDORADO-IVANPAH,35.67088875,-115.23861504999999,Eldorado Substation | Ivanpah Substation,1.0,line-midpoint
ELDORADO NCP MERCHANT,ELDORADO SWITCHYARD,35.7973353,-115.0084794,Eldorado Substation,1.0,exact
ELDORADO PISGAH,ELDORADO-PISGAH #2,35.289508850000004,-115.69658749999999,Eldorado Substation | Pisgah Switchyard,1.0,line-midpoint
ELDORADO SUBSATION,ELDORADO SUBSATION,,,,0.62,none
FMC,FMC SUBSTATION,37.3472911,-121.921986,FMC Substation,1.0,exact
ELK GUALALA,ELK-GUALALA,39.1293206,-123.7117919,Elk Substation,0.7,line-one-end
ELK HILLS TAFT,ELK HILLS TAFT,,,,0.35,none
ELLIS,ELLIS SUBSTATION,33.6852045,-117.9431126,Ellis Substation,1.0,exact
ELLIS SANTIAGO,ELLIS-SANTIAGO LINE,33.675063800000004,-117.85583555,Ellis Substation | Santiago Substation,1.0,line-midpoint
ENCINA,ENCINA SUBSTATION,,,,0.67,none
EVERGREEN,EVERGREEN,37.3031783,-121.8408334,Evergreen Substation,1.0,exact
EXCELSIOR LOCATED ON THE PANOCHE SCHINDLER 2,EXCELSIOR SWITCHING STATION LOCATED ON THE PANOCHE-SCHINDLER NO.1 & 2,,,,0.63,none
EXCHEQUER LEGRAND,EXCHEQUER-LEGRAND,,,,0.71,none
EXISTING RADIAL GEN TIE TO TL6929,EXISTING RADIAL,,,,0.59,none
FAIRHAVEN,FAIRHAVEN SUBSTATION,,,,0.71,none
FAMOSO,FAMOSO SUBSTATION,,,,0.67,none
FIBREBOARD,FIBREBOARD TAP,,,,0.62,none
FIVE POINTS,FIVE POINTS SUBSTATION,,,,0.6,none
ELK CREEK,ELK CREEK,,,,0.5,none
HERDLYN BALFOUR,HERDLYN-BALFOUR,,,,0.71,none
HERDLYN TRACY,HERDLYN-TRACY LINE,37.7979179,-121.5807052,Tracy Substation,0.7,line-one-end
HERDLYN TRACY LONG 121 577185 LAT 37 800654,HERDLYN - TRACY,37.7979179,-121.5807052,Tracy Substation,0.7,line-one-end
HERNDON KEARNEY,HERNDON - KEARNEY,36.8446681,-119.922563,Herndon Substation,0.7,line-one-end
HIGH WINDS CONTRA COSTA,HIGH WINDS/CONTRA COSTA PP,,,,0.69,none
HIGHWIND,HIGHWIND SUBSTATION,,,,0.75,none
HIGHWIND WINDHUB,HIGHWIND-WINDHUB,35.0349893,-118.2808562,Windhub Substation,0.7,line-one-end
HILLSDALE HALF MOON BAY,HILLSDALE JUNCTION-HALF MOON BAY,37.497030249999995,-122.39329565,Hillsdale Junction | Half Moon Bay Substation,1.0,line-midpoint
HOLLISTER,HOLLISTER SUBSTATION,36.8627977,-121.4062132,Hollister Substation,1.0,exact
HONEY LAKE,HONEY LAKE SUBSTATION,40.3682671,-120.2648492,Honey Lake Substation,1.0,exact
HOODOO WASH HASSAYAMPA,HOODOO WASH - HASSAYAMPA,,,,0.63,none
HUMBOLDT,HUMBOLDT,41.2272733,-115.9399678,Humboldt,1.0,exact
GWF HANFORD,GWF HANFORD,,,,0.78,none
HUMBOLDT BAY HUMBOLDT,HUMBOLDT BAY-HUMBOLDT #1,41.2272733,-115.9399678,Humboldt,0.7,line-one-end
HUMBOLDT BRIDGEVILLE,HUMBOLDT-BRIDGEVILLE,41.2272733,-115.9399678,Humboldt,0.7,line-one-end
HUNTINGTON BEACH,HUNTINGTON BEACH SWITCHING STATION,,,,0.65,none
HURON,HURON SUBSTATION,,,,0.67,none
IGNACIO,IGNACIO,38.0767942,-122.5403588,Ignacio Substation,1.0,exact
IMPERIAL VALLEY 230 KV,IMPERIAL VALLEY 230-KV SUBSTATION,32.7179069,-115.7155553,Imperial Valley Substation,0.88,fuzzy
