poi_base,county,utility,active_projects,active_mw,active_storage_mw,full_capacity_mw,energy_only_mw,withdrawn_projects,withdrawn_mw,completed_mw,churn_ratio
OLIVE SWITCHING STATION,TULARE,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,
OTAY SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,52.5,0.4
OLIVE SWITCHING STATION - SMYNRA,TULARE,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
OLIVE SWITCHING SUBSTATION,TULARE,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
OMEC INTERCONNECTION SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,
ORO LOMA,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
ORO LOMA-CANAL,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
ORO LOMA-EL NIDO,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
ORO LOMA-MENDOTA,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
OTAY MESA,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,315.0,0.0,
OTAY MESA ENERGY CENTER,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,2.0,428.8,0.0,
OTAY MESA ENERGY CENTER SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,190.0,0.0,
OTAY MESA SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,6.0,762.6,0.0,
OTAY MESA SWITCHYARD,USA,SDGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
MUSTANG SWITCHING STATION,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,300.0,0.0,
MOHAVE SWITCHYARD,LA PAZ,SCE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
MOUNTAIN PASS SUBSTATION,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0
MELONES-CURTIS,TUOLUMNE,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
MENDOTA DAIRYLAND,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
MENDOTA BIOMASS TAP LINE,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,1.2,0.0,
MENDOTA BIOMASS SUBSTATION,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,
MENDOTA - SAN JOAQUIN - HELM,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
MENDOTA,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,3.0,328.0,0.0,
MELROSE SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0
MEAD-ELDORADO,CLARK,SCE,0.0,0.0,0.0,0.0,0.0,1.0,242.0,0.0,
MENDOTA-DAIRYLAND,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
MCCALL-KINGSBURG #1 & #2,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,337.5,0.0,
MCCALL SUBSTATION,TBD,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,750.0,0.0,
MCCALL SUBSTATION,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,900.0,0.0,
MARTIN SUBSTATION,SAN MATEO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,412.0,0.0,
MARIPOSA ENERGY CENTER,CONTRA COSTA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,34.1,0.0,
MARICOPA-COPUS,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,40.0,0.0,
MENDOTA SUB,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,4.0,115.1,0.0,
MENDOTA-SAN JOAQUIN-HELM,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,4.0,289.3,5.0,57.9
MIDPOINT SUBSTATION,RIVERSIDE,SCE,0.0,0.0,0.0,0.0,0.0,8.0,2879.0,0.0,
MERCY SPRINGS SUBSTATION,FRESNO/MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,40.2,0.0,
MESA-DIVIDE #1,SANTA BARBARA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,105.0,0.0,
MESA SUBSTATION,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,3.0,700.0,0.0,
MESA SUBSTATION,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
MESA HEIGHTS SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,
MESA,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,99.7,1.0
MERCY SPRINGS SUBSTATION,KINGS,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0
MERCY SPRINGS ORO LOMA,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
MENDOTA-SAN JOAQUIN-HELM 69K,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,
MERCY SPRINGS,FRESNO/MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
MERCHANT SWITCHYARD,CLARK,SDGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,0.0
MERCED-MADERA,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
MERCED SUBSTATION,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
MERCED #1,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,40.0,11.0,3.6
MERCED #1,MADERA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,
MARICOPA SUBSTATION,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
MARGARITA,ORANGE,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,49.9,0.0,
MANDALAY-SANTA CLARA,VENTURA,SCE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
LOS BANOS-O'NEIL PGP,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,26.5,0.0,
LOS ESTEROS SUBSTATION,SAN CLARA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,500.0,0.0,
LOS COCHES SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
LOS BANOS-WESTLY,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,
LOS BANOS-WESTLEY,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0
LOS BANOS-SAN LUIS PGP #1,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,149.5,0.0,
LOS BANOS-PACHECO,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,117.4,0.0,
LOS BANOS-LIVINGSTON-CANAL,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
MALAGA,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,94.8,0.0,
LOS BANOS-GATES #1,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,0.0,
LOS BANOS-DOS AMIGOS,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
LOS BANOS SUBSTATION,MERCED,PGAE,0.0,0.0,0.0,0.0,0.0,4.0,810.1,0.0,
LOS BANOS - GATES #3,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,1000.0,0.0,
LOS BANOS - GATES #1,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,1700.0,0.0,
LOOP VACA DIXON-PEABODY & VACA DIXON-LAMBIE,SOLANO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,630.0,0.0,
LOS ESTEROS SUBSTATION,SANTA CLARA,PGAE,0.0,0.0,0.0,0.0,0.0,3.0,520.0,0.0,
LOVELAND - ALPINE,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
LUGO,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,2.0,500.0,0.0,
LUGO-ELDORADO,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,290.0,0.0,
LUGO-MOHAVE,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,2.0,445.0,0.0,
LUGO-MOJAVE,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,2.0,1500.0,0.0,
LUGO-PISGAH,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,7.0,1211.0,0.0,
LUGO-PISGAH LINE,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,500.0,0.0,
LUGO-PISGAH NO. 2,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,
LUGO-VINCENT,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,387.0,0.0,
MABURY TAP,SANTA CLARA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
MADISON,YOLO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,158.4,0.0,
MAGUNDEN,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,206.0,0.0,
MAGUNDEN,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,
MAGUNDEN-PASTORIA,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
MAGUNDEN-SPRINGVILLE #1,TULARE,SCE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
MAGUNDEN-VESTAL #1,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
METCALF SUBSTATION,SANTA CLARA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
MIDSUN-MIDWAY,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,11.2,0.0,
MOUNTAIN PASS,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,
MOJAVE,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,1200.0,0.0,
MORAGA,CONTRA COSTA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,
MONTE RIO-FULTON,SONOMA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,
MONTA VISTA,SANTA CLARA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,500.0,0.0,
MONOLITH SUBSTATION,KERN,SCE,0.0,0.0,0.0,0.0,0.0,3.0,521.0,0.0,
MOLINO SUBSTATION,SONOMA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,
MOJAVE GENERATING STATION,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,240.0,0.0,
MOHAVE-LUGO,CLARK,SCE,0.0,0.0,0.0,0.0,0.0,2.0,500.0,0.0,
MORRO BAY,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,3.0,1506.1,0.0,
MOHAVE-ELDORADO,CLARK,SCE,0.0,0.0,0.0,0.0,0.0,2.0,600.0,0.0,
MOHAVE SWITCHYARD,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,2.0,750.0,0.0,
MOHAVE SWITCHYARD,MOHAVE,SCE,0.0,0.0,0.0,0.0,0.0,1.0,514.8,0.0,
PG&E MARTIN SUBSTATION,SAN MATEO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.2,0.0,
MOHAVE SWITCHYARD,CLARK,SCE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
MOHAVE GENERATING STATION,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,565.0,0.0,
MORGAN HILL SUBSTATION,SANTA CLARA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,30.0,0.0,
MORRO BAY - MIDWAY,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,
MIDWAY - VINCENT #1 & #2,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,500.0,0.0,
MORROW BAY-GATES,KINGS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,
MOSS-PANOCHE AND COBURN-PANOCHE,SAN BENITO,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,0.0
MOSS-LINDING-SALINAS-SOLEDAD,MONTEREY,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,105.0,0.0,
MOSS LANDING-PANOCHE #2 & COBURN-PANOCHE #2,SAN BENITO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,
MOSS LANDING-PANOCHE #2,SAN BENITO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
MOSS LANDING SUBSTATION,MONTEREY,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.5,0.0
MOSS LANDING - METCALF,SANTA CLARA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,414.0,0.0,
MORROW BAY - MIDWAY #1 & #2,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
MORRO BAY PP,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,650.0,0.0,
MORRO-GATES,MONTEREY,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0.0
MORRO BAY-MIDWAY #2,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,375.0,0.0,
MORRO BAY-MIDWAY #1 & #2 LINES,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,0.0
MORRO BAY-MIDWAY,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,0.0
MORRO BAY SUBSTATION,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,4.0,2564.3,0.0,
MORRO BAY SOLAR SW STA #2,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
MOHAVE GENERATING STATION,MOHAVE,SCE,0.0,0.0,0.0,0.0,0.0,1.0,310.0,0.0,
MOHAVE,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,635.0,0.0,
MISSION-SAN LUIS REY,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,508.0,0.0,
MIDWAY-DIABLO CANYON #2,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,0.0,
MIDWAY-TUPMAN-RIO BRAVO-RENFRO,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,155.0,0.0,
MIDWAY-TAFT,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,27.0,0.0,
MIDWAY-MORROW BAY,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0
MIDWAY-MORRO BAY,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0
MIDWAY-MIDSUN,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,47.8,0.0,
MIDWAY-GATES & ARCO-GATES,KINGS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
MIDWAY- WHEELER RIDGE,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,
MISSION-CARLTON HILLS,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
MIDWAY- GATES,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,307.6,0.0,
MIDWAY SUNSET VIA MIDWAY-SUNSET GEN-TIE,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
MIDWAY SUBSTATION VIA MIDWAY-SUNSET GEN-TIE,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
MIDWAY SUBSTATION,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,9.0,2207.1,0.0,
MIDWAY - WHEELER RIDGE #1 AND #2,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,
MIDWAY - WHEELER RIDGE #1 & #2,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,1230.0,0.0,
MIDWAY-WHEELER RIDGE,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,5.0,1638.0,0.0,
MIDWAY-WHEELER RIDGE #1,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,137.8,0.0,
MIDWAY-WHEELER RIDGE #1 AND #2,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,
MIDWAY-WHEELER RIDGE #2,MARICOPA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
MIGUEL,ENSENADA/MEXICALI/TECATE,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,500.0,0.0,
MIGUEL,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,
MIGUEL SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,3.0,230.0,0.0,
MILLBRAE,SAN MATEO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,41.1,0.0,
MILLER #1,STANISLAUS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,40.0,40.0,1.0
MIRA LOMA - CHINO 230 #1,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,550.0,0.0,
MIRA LOMA SUBSTATION,RIVERSIDE,SCE,0.0,0.0,0.0,0.0,0.0,2.0,600.0,0.0,
MIRA LOMA-WALNUT,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
MIRAGE SUBSTATION,RIVERSIDE,SCE,0.0,0.0,0.0,0.0,0.0,2.0,650.0,0.0,
MIRAMAR GT SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0
MIRAMAR GT SWITCHYARD,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,
MIRAMAR-SCRIPPS,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,75.0,0.0,
MISSION SUBSTATION,SAN FRANCISCO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,
PG&E KERN OIL-VEDDER,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
,CONTRA COSTA,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,47.2,0.0,
PG&E MIDWAY WHEELER RIDGE,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,157.7,0.0,
TRACY-HERDLYN,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,
TRABUCO SUBSTATION,ORANGE,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,
TRABUCO - CAPISTRANO,ORANGE,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
TORTILLA-KRAMER,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,149.4,0.0,
TORTILLA SUBSTATION,SAN BERNARDINO,SCE,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,
THOUSANDAIRE SUBSTATION,NYE,VEA,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
TESLA-WESTLEY,STANISLAUS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,240.0,0.0,
TESLA-WESTLEY,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,371.3,0.0,
TESLA-WEBER,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,240.0,0.0,
TESLA-TRACY #1,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,600.0,0.0,
TESLA-TRACY #1,CONTRA COSTA,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,1161.0,0.0,
TESLA-TRACY,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
TESLA-STAGG,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,240.0,0.0,
TESLA-BELOTA,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
TESLA-BELLOTA,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,3.0,743.7,0.0,
TESLA TO DELTA SWITCHING YARD AT THE ALTAMONT-MIDWAY SUBSTATION,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,52.5,0.0,
TRACY SUBSTATION,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,600.0,0.0,
TRACY-TESLA,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,
SUNCREST SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,2.0,600.0,0.0,
TRANQUILITY KEARNY,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,152.2,0.0,
VACA-DIXON SUBSTATION,SOLANO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,900.0,0.0,
VACA-BAHIA,NAPA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,301.0,0.0,
VACA - DIXON SUB,SOLANO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,80.0,0.0,
UKIAH SUBSTATION,MENDOCINO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,115.0,0.0,
TWL SERIES COMPENSATION STATION,LA PAZ,DCRT,0.0,0.0,0.0,0.0,0.0,1.0,350.0,0.0,
TUPMAN SUBSTATION,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,120.0,0.0,
TULLOCH,TUOLUMNE,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0
TULARE LAKE - ARCO,KINGS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,25.0,0.0,
TULARE HENRIETTA,KINGS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,
TRINITY-COTTONWOOD,SHASTA/TRINITY,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,102.0,0.0,
TRIMBLE SUBSTATION,SANTA CLARA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
TRANQUILLITY SWITCHYARD,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0
TRANQUILLITY SS,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,500.0,0.0,
TRANQUILITY SWITCHING STATION,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,3.0,1592.5,0.0,
TRANQUILITY SUBSTATION,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,19.9,0.0,
TESLA SUBSTATION,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,4.0,1154.9,0.0,
TESLA SUBSTATION,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,3.0,480.0,0.0,
TESLA SUB,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,1156.0,0.0,
TESLA SUB,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0
TALEGA SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,400.0,0.0,
TALEGA SUBSTATION,ORANGE,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,
TALEGA SAN MATEO,ORANGE,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,
TAFT-ELK HILLS,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,
TAFT-CUYAMA#1,SANTA BARBARA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,
TABLE MTN.-BUTTE #2,BUTTE,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,20.2,0.0,
TABLE MTN-RIO OSO,YUBA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,250.0,0.0,
TABLE MTN-RIO OSO,BUTTE,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,60.0,0.0,
TABLE MOUNTAIN-TESLA,SUTTER,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,1200.0,0.0,
TABLE MOUNTAIN-RIO OSO,YUBA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,310.0,0.0,
TABLE MOUNTAIN SUBSTATION,BUTTE,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,85.0,0.0,
TABLE MOUNTAIN,BUTTE,PGAE,0.0,0.0,0.0,0.0,0.0,2.0,425.0,0.0,
SYMRNA-SEMITROPIC-MIDWAY,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,
SYLMAR-GOULD LINE,LOS ANGELES,SCE,0.0,0.0,0.0,0.0,0.0,1.0,162.9,0.0,
SYCAMORE CANYON SUBSTATION,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,4.0,2000.0,300.0,6.7
TALEGA-ESCONDIDO,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,2.0,1045.4,0.0,
TAP COTTONWOOD-LOGAN CREEK-VACA DIXON,GLENN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,
TAP HELM-VALLEY NITROGEN,FRESNO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,
TEMBLOR-KING ELLIS,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0,
TESLA - WESTLEY,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,299.0,0.0,
TESLA - STOCKTON CO-GEN JCT,SAN JOAQUIN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,11.0,0.0,
TESLA - MILLER,STANISLAUS,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,75.0,0.0,
TESLA - KESLO,ALAMEDA,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,
TEMPLETON SUBSTATION,TBD,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,500.0,0.0,
TEMBLOR-SAN LUIS OBISPO,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,45.0,0.0,
TEMBLOR-KERNRIDGE,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,80.0,0.0,
TAP OF CHEVRON,KERN,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,
TEMBLOR - SAN LUIS OBISPO,SAN LUIS OBISPO,PGAE,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,
TELEGA - ESCONDIDO,SAN DIEGO,SDGE,0.0,0.0,0.0,0.0,0.0,1.0,49.0,0.0,
TBD BAKERSFIELD,KERN,SCE,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,
