tpd_year,pto,queue_id,allocation_group,status,allocation_pct,mw_requested,mw_allocated,in_generator_queue,source_file,source_run_date,pipeline_commit,pipeline_run
2024,SCE,297,A,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SDGE,1045,A,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SDGE,1047,A,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SDGE,1048,A,PCDSA,0.663983903420523,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,PGAE,1223,B,PCDSA,0.6,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,DCRT,1402,A,PCDSA,0.6575,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,DCRT,1402,A,PCDSA,0.6575,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,DCRT,1402,A,PCDSA,0.6575,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SCE,1405,A,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,PGAE,1461,A,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SDGE,1531,A,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SDGE,1531,A,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SCE,1643,B,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SCE,1646,A,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SDGE,1660,A,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,DCRT,1678,A,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SCE,1758,A,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SCE,1758,B,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SCE,1761,A,PCDSA,0.1045,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SCE,1761,A,PCDSA,0.1045,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SCE,1764,A,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SCE,1774,A,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SCE,1784,A,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,SDGE,1821,A,PCDSA,0.8,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,PGAE,1859,A,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,PGAE,1865,B,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,PGAE,1866,D,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,PGAE,1872,D,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,PGAE,1875,D,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,PGAE,1876,D,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
2024,PGAE,1881,D,FCDSA,1.0,,,True,tpd_2024.xlsx,,8eb6c6f,2026-09-14T20:14:05Z
