county,active_projects,active_mw,active_storage_mw,withdrawn_projects,withdrawn_mw,withdrawn_storage_mw,completed_projects,completed_mw,completed_storage_mw,withdrawal_rate_by_count,withdrawal_rate_by_mw
BAJA CALIFORNIA,0.0,0.0,0.0,11.0,5235.6,275.0,1.0,256.0,0.0,0.9,1.0
BUTTE,0.0,0.0,0.0,9.0,986.4,811.2,1.0,4.0,0.0,0.9,1.0
CHURCHILL,0.0,0.0,0.0,13.0,632.4,0.0,1.0,10.0,0.0,0.9,1.0
CHURCHILL/PERSHING,0.0,0.0,0.0,1.0,364.2,0.0,0.0,0.0,0.0,1.0,1.0
COLUSA/LAKE,0.0,0.0,0.0,1.0,66.2,0.0,0.0,0.0,0.0,1.0,1.0
EL DORADO,0.0,0.0,0.0,4.0,160.5,160.5,0.0,0.0,0.0,1.0,1.0
ENSENADA,0.0,0.0,0.0,1.0,508.0,0.0,0.0,0.0,0.0,1.0,1.0
ENSENADA/MEXICALI/TECATE,0.0,0.0,0.0,2.0,1000.0,0.0,0.0,0.0,0.0,1.0,1.0
ESMERALDA,0.0,0.0,0.0,2.0,627.3,0.0,0.0,0.0,0.0,1.0,1.0
FRESNO/MERCED,0.0,0.0,0.0,2.0,140.2,81.4,0.0,0.0,0.0,1.0,1.0
GLENN,0.0,0.0,0.0,4.0,237.0,150.0,0.0,0.0,0.0,1.0,1.0
HUMBOLDT,0.0,0.0,0.0,14.0,4183.4,750.6,1.0,146.4,0.0,0.9,1.0
INYO/KERN,0.0,0.0,0.0,1.0,120.0,0.0,0.0,0.0,0.0,1.0,1.0
PLATTE,0.0,0.0,0.0,1.0,3000.0,0.0,0.0,0.0,0.0,1.0,1.0
KERN/KINGS,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
KERN/LOS ANGELES,0.0,0.0,0.0,2.0,1630.0,0.0,0.0,0.0,0.0,1.0,1.0
LA PAZ/MARICOPA,0.0,0.0,0.0,1.0,900.0,0.0,0.0,0.0,0.0,1.0,1.0
LAKE/SONOMA,0.0,0.0,0.0,1.0,201.0,0.0,0.0,0.0,0.0,1.0,1.0
LASSEN,0.0,0.0,0.0,4.0,318.0,27.0,0.0,0.0,0.0,1.0,1.0
LINCOLN,0.0,0.0,0.0,3.0,3710.0,510.2,0.0,0.0,0.0,1.0,1.0
MARIN,0.0,0.0,0.0,4.0,784.9,600.0,0.0,0.0,0.0,1.0,1.0
MARIPOSA,0.0,0.0,0.0,1.0,110.0,0.0,0.0,0.0,0.0,1.0,1.0
MENDOCINO,0.0,0.0,0.0,5.0,321.0,40.0,0.0,0.0,0.0,1.0,1.0
MINERAL,0.0,0.0,0.0,3.0,239.0,0.0,0.0,0.0,0.0,1.0,1.0
MOHAVE,0.0,0.0,0.0,3.0,1374.8,0.0,0.0,0.0,0.0,1.0,1.0
MONO,0.0,0.0,0.0,1.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0
PLACER,0.0,0.0,0.0,9.0,1008.7,621.2,0.0,0.0,0.0,1.0,1.0
MODOC/SISKIYOU,0.0,0.0,0.0,1.0,132.0,0.0,0.0,0.0,0.0,1.0,1.0
