node_key,poi_base,county,utility,state,legacy_active_projects,legacy_active_mw,legacy_active_storage_mw,c15_active_projects,c15_active_mw,c15_active_storage_mw,operating_projects,operating_mw,operating_storage_mw,wd_alltime_projects,wd_alltime_mw,wd_alltime_storage_mw,wd_recent_projects,wd_recent_mw,wd_recent_storage_mw,c15_withdrawn_projects,c15_withdrawn_mw,c15_withdrawn_storage_mw,wd_post_phase2_mw,c15_fcds_req_mw,pipeline_mw,pipeline_storage_mw,storage_churn,churn_alltime,c15_survival,tpd25_projects,tpd25_req_mw,tpd25_alloc_mw,tpd25_denied_mw,tpd25_unknown_mw,tpd25_unalloc_mw,tpd24_fcdsa_projects,tpd24_pcdsa_projects,wdat_active_projects,wdat_active_mw,wdat_active_storage_mw,wdat_inservice_mw,wdat_withdrawn_mw,lmp_tb4_12mo_mean,lmp_tb4_12mo_p90,lmp_months,c16_poi_status,c16_poi_note,lat,lon,osm_name,geo_score,geo_method,source_file,source_run_date,pipeline_commit,pipeline_run
MIDWAY WHEELER RIDGE AND,MIDWAY - WHEELER RIDGE #1 AND #2,KERN,PGAE,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,35.2460173,-119.21406175,Midway Substation | Wheeler Ridge Substation,0.87,line-midpoint,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
MIDWAY DIABLO CANYON,MIDWAY-DIABLO CANYON #2,SAN LUIS OBISPO,PGAE,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500.0,319.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,35.3095594,-120.1497962,Midway Substation | Diablo Canyon,1.0,line-midpoint,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
NEW TO LOOP THE ECO MIGUEL,NEW SWITCHYARD TO LOOP THE ECO-MIGUEL,SAN DIEGO,SDGE,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,400.0,205.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,32.90258,-117.1167373,median of located nodes in CA SAN DIEGO,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
NEW WHEELER RIDGE,NEW WHEELER RIDGE JUNCTION,KERN,PGAE,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,35.2460173,-118.975825,median of located nodes in CA KERN,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
NEWHALL,NEWHALL SUBSTATION,FRESNO,PGAE,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.7,4.8,5.0,6.0,,,0,,,34.3791522,-118.5590591,Newhall Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
NEXT TO CALPEAK BORDER SITE,,SAN DIEGO,SDGE,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,32.90258,-117.1167373,median of located nodes in CA SAN DIEGO,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
NICOLAUS MARYSVILLE,NICOLAUS-MARYSVILLE,YUBA,PGAE,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,,,,0.8,none,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
NORTH GILA,NORTH GILA SUBSTATION,YUMA,SDGE,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,32.7456924,-114.4912811,North Gila Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
NORTH GILA HASSAYAMPA,NORTH GILA-HASSAYAMPA,MARICOPA,SDGE,AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,32.7456924,-114.4912811,North Gila Substation,0.7,line-one-end,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
NORTH ISLAND METERING,NORTH ISLAND METERING STATION,SAN DIEGO,SDGE,CA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,32.90258,-117.1167373,median of located nodes in CA SAN DIEGO,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
