node_key,poi_base,county,utility,state,legacy_active_projects,legacy_active_mw,legacy_active_storage_mw,c15_active_projects,c15_active_mw,c15_active_storage_mw,operating_projects,operating_mw,operating_storage_mw,wd_alltime_projects,wd_alltime_mw,wd_alltime_storage_mw,wd_recent_projects,wd_recent_mw,wd_recent_storage_mw,c15_withdrawn_projects,c15_withdrawn_mw,c15_withdrawn_storage_mw,wd_post_phase2_mw,c15_fcds_req_mw,pipeline_mw,pipeline_storage_mw,storage_churn,churn_alltime,c15_survival,tpd25_projects,tpd25_req_mw,tpd25_alloc_mw,tpd25_denied_mw,tpd25_unknown_mw,tpd25_unalloc_mw,tpd24_fcdsa_projects,tpd24_pcdsa_projects,wdat_active_projects,wdat_active_mw,wdat_active_storage_mw,wdat_inservice_mw,wdat_withdrawn_mw,lmp_tb4_12mo_mean,lmp_tb4_12mo_p90,lmp_months,c16_poi_status,c16_poi_note,lat,lon,osm_name,geo_score,geo_method,source_file,source_run_date,pipeline_commit,pipeline_run
WINDHUB,WINDHUB SUBSTATION,KERN,SCE,CA,8.0,4050.0,2469.77,1.0,550.0,0.0,6.0,2268.0,462.0,33.0,11044.3,2670.0,3.0,1450.0,1000.0,1.0,450.0,0.0,1250.0,0.0,4600.0,2469.77,0.34,1.61,0.55,1.0,150.0,0.0,150.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,35.0349893,-118.2808562,Windhub Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
RED BLUFF,RED BLUFF SUBSTATION,RIVERSIDE,SCE,CA,8.0,2867.0,2867.0,4.0,725.0,0.0,7.0,1620.0,731.0,16.0,10481.8,6233.0,3.0,3025.0,3025.0,0.0,0.0,0.0,3451.5,0.0,3592.0,2867.0,0.84,2.01,1.0,4.0,469.5,73.0,269.5,0.0,396.5,4.0,3.0,1.0,5.0,2.5,0.5,21.3,,,0,,,33.6988312,-115.3128761,Red Bluff Substation,0.5,ambiguous,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
VINCENT,VINCENT SUBSTATION,LOS ANGELES,SCE,CA,4.0,2070.0,2070.0,2.0,1450.0,1450.0,5.0,198.6974,179.0,17.0,5240.1,3288.96,6.0,1950.0,1950.0,3.0,1250.0,1250.0,1565.1,1450.0,3520.0,3520.0,0.53,1.41,0.54,1.0,250.0,250.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,34.4859441,-118.1196772,Vincent Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
WHIRLWIND,WHIRLWIND SUBSTATION,KERN,SCE,CA,11.0,2471.88,1774.32,3.0,801.0,801.0,18.0,2120.44,604.0,28.0,7114.93,1261.5430000000001,1.0,300.0,300.0,0.0,0.0,0.0,1364.98,801.0,3272.88,2575.3199999999997,0.09,1.32,1.0,2.0,166.0,127.5,0.0,0.0,38.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,34.8578451,-118.4373291,Whirlwind Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
DELANEY COLORADO RIVER,DELANEY-COLORADO RIVER,MARICOPA,DCRT,AZ,1.0,3200.0,2171.0,0.0,0.0,0.0,1.0,500.0,267.0,4.0,1471.996,565.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,2171.0,0.0,0.4,,1.0,450.0,0.0,450.0,0.0,450.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,0,,,33.658275,-113.943197,,0.9,cec-line,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
TROUT CANYON,TROUT CANYON SUBSTATION,CLARK,GLW,NV,9.0,3000.0,2786.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1500.0,1500.0,3.0,1500.0,1500.0,3.0,1500.0,1500.0,0.0,0.0,3000.0,2786.0,0.54,0.5,0.0,2.0,625.0,0.0,625.0,0.0,625.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,35.7973353,-115.0115455,median of located nodes in NV CLARK,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
DRY LAKE,DRY LAKE SW STA,KINGS,PGAE,CA,0.0,0.0,0.0,8.0,2950.0,2151.9289078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.0,2950.0,2151.9289078,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,AVAILABLE,New 500 kV switching station; stated as a viable POI option for C16 [2026-01-15],35.753928,-119.744631,CAISO notice 2026-01-15 'PG&E information on POI availability for Cluster 16': p,1.0,override,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
MANNING,MANNING,FRESNO,LSPC,CA,0.0,0.0,0.0,8.0,2662.0,2662.0,0.0,0.0,0.0,3.0,1782.0,1782.0,3.0,1782.0,1782.0,3.0,1782.0,1782.0,0.0,2662.0,2662.0,2662.0,0.67,0.67,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,36.587580525,-120.1256622,median of located nodes in CA FRESNO,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
GATES,GATES SUBSTATION,FRESNO,PGAE,CA,7.0,2521.21,1860.26,0.0,0.0,0.0,5.0,820.0,497.0,18.0,5232.51,1830.99,4.0,838.91,838.91,2.0,449.0,449.0,1240.0,0.0,2521.21,1860.26,0.36,1.57,0.0,2.0,1396.4,396.4,1000.0,0.0,1000.0,3.0,0.0,1.0,5.2,0.0,23.2,76.6,,,0,RELIEVED,500 kV removed from Table G2-A space limitation per revised plan [2026-01-15],36.1413374,-120.1256622,Gates Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
MOSS LANDING,MOSS LANDING,MONTEREY,PGAE,CA,2.0,2250.0,1506.813,1.0,199.0,199.0,3.0,932.5,932.5,2.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,2449.0,1705.813,0.0,0.3,1.0,1.0,1500.0,1500.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0,,,36.80832,-121.778,"OSM: convergence of Moss Landing 115 kV line ends (ways 974695020, 974462217, 97",1.0,override,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
LUGO,LUGO,SAN BERNARDINO,SCE,CA,1.0,500.0,500.0,5.0,1798.0,1798.0,0.0,0.0,0.0,13.0,5153.01,5153.01,12.0,4953.01,4953.01,10.0,4453.01,4453.01,0.0,1798.0,2298.0,2298.0,2.16,2.24,0.29,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,34.3658218,-117.3693963,Lugo Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
TESLA,TESLA,ALAMEDA,PGAE,CA,5.0,1280.0,1200.0,3.0,999.9,999.9,2.0,436.0,400.0,12.0,3635.19,2380.29,5.0,2000.29,2000.29,5.0,2000.29,2000.29,254.9,999.9,2279.9,2199.9,0.77,1.34,0.33,1.0,150.0,150.0,0.0,0.0,0.0,2.0,0.0,1.0,2.4,0.0,0.0,20.0,,,0,CONDITIONAL,Conceptual layout modification enables new 230 kV terminals [2026-01-15],37.7120521,-121.5647373,Tesla Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
LOS BANOS,LOS BANOS,MERCED,PGAE,CA,6.0,1830.0,1704.94,1.0,400.0,400.0,0.0,0.0,0.0,11.0,2905.053,2745.0,8.0,2645.0,2645.0,6.0,1995.0,1995.0,100.0,400.0,2230.0,2104.94,1.26,1.3,0.17,2.0,100.0,100.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,121.0,,,0,,,37.0530047,-121.0205078,Los Banos Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
COLORADO RIVER,COLORADO RIVER SUBSTATION,RIVERSIDE,SCE,CA,5.0,1715.0,1715.0,1.0,300.62,0.0,7.0,2259.0,1424.0,31.0,9017.45,1129.9,2.0,700.0,300.0,1.0,400.0,0.0,3636.0,0.0,2015.62,1715.0,0.1,2.11,0.43,3.0,875.0,0.0,875.0,0.0,875.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,,,0,,,33.5806241,-114.8172191,Colorado River Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
VALLEY,VALLEY SWITCH,NYE,GLW,NV,2.0,550.0,540.0,6.0,1450.02,450.0,2.0,730.0,680.0,5.0,1580.0,1400.0,2.0,1400.0,1400.0,2.0,1400.0,1400.0,0.0,0.0,2000.02,990.0,0.84,0.58,0.51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,36.16197,-115.9499389,median of located nodes in NV NYE,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
ANTELOPE,ANTELOPE SUBSTATION,LOS ANGELES,SCE,CA,5.0,1720.0,1264.9,1.0,197.0,197.0,5.0,90.0,0.0,19.0,2603.0,1017.0,2.0,320.0,320.0,0.0,0.0,0.0,1082.1,197.0,1917.0,1461.9,0.22,1.3,1.0,1.0,120.0,120.0,0.0,0.0,0.0,2.0,0.0,2.0,8.5,0.0,0.0,26.0,,,0,,,34.6858079,-118.2981161,Antelope Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
MOHAVE,MOHAVE SUBSTATION,CLARK,SCE,NV,4.0,1770.0,1770.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5099.843,1250.0,2.0,1050.0,1050.0,2.0,1050.0,1050.0,685.0,0.0,1770.0,1770.0,0.59,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,35.1470784,-114.597151,Mohave Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
LAGUNA BELL,LAGUNA BELL SUBSTATION,LOS ANGELES,SCE,CA,3.0,750.0,750.0,1.0,1000.0,1000.0,0.0,0.0,0.0,4.0,1314.0,400.0,2.0,400.0,400.0,0.0,0.0,0.0,0.0,1000.0,1750.0,1750.0,0.23,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,33.975758,-118.1478598,Laguna Bell Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
TRANQUILITY,TRANQUILITY,FRESNO,PGAE,CA,8.0,1575.0,1322.0632,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1914.4345,379.929,0.0,0.0,0.0,0.0,0.0,0.0,19.94,0.0,1575.0,1322.0632,0.0,1.22,,2.0,225.0,225.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,36.57799,-120.40699,OSM relation 8376979 'Tranquillity Solar Project' plant centroid (Recurrent Ener,0.8,override-approx,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
EAST COUNTY,EAST COUNTY SUBSTATION,BAJA CALIFORNIA,SDGE,CA,2.0,1272.8200000000002,0.0,1.0,299.8,0.0,2.0,276.0,0.0,7.0,2010.25,20.0,2.0,1200.0,0.0,0.0,0.0,0.0,1980.25,0.0,1572.6200000000001,0.0,,1.09,1.0,1.0,972.8,0.0,972.8,0.0,972.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,,,,0.8,none,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
HOODOO WASH,HOODOO WASH SWITCHYARD,YUMA,SDGE,AZ,6.0,1570.0,1312.5,0.0,0.0,0.0,2.0,790.0,435.0,5.0,1406.96,400.0,1.0,400.0,400.0,0.0,0.0,0.0,400.0,0.0,1570.0,1312.5,0.23,0.6,,2.0,500.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,32.7456924,-114.4912811,median of located nodes in AZ YUMA,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
MOORPARK,MOORPARK SUBSTATION,VENTURA,SCE,CA,3.0,1500.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1475.0,1475.0,4.0,1475.0,1475.0,0.0,0.0,0.0,465.0,0.0,1500.0,1500.0,0.98,0.98,,1.0,500.0,461.9,0.0,0.0,38.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,34.2811367,-118.9030822,Moorpark Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
HARLAN,HARLAN SW STA,FRESNO,PGAE,CA,0.0,0.0,0.0,2.0,1450.0,1450.0,0.0,0.0,0.0,1.0,1150.0,1150.0,1.0,1150.0,1150.0,1.0,1150.0,1150.0,0.0,1450.0,1450.0,1450.0,0.79,0.79,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,AVAILABLE,New 500 kV switching station designed with future expansion capability [2026-01-15],36.423475,-120.407322,"CAISO notice 2026-01-15: Harlan 500 kV Sw Sta 36°25'24.51""N 120°24'26.36""W",1.0,override,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
MIDWAY,MIDWAY SUBSTATION,KERN,PGAE,CA,4.0,1385.0,1252.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2872.09,1171.49,5.0,867.0899999999999,867.0899999999999,0.0,0.0,0.0,315.0,0.0,1385.0,1252.0,0.69,2.07,,1.0,200.0,0.0,200.0,0.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,97.4,,,0,,,35.4029429,-119.4522985,Midway Substation,0.5,ambiguous,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
CIELO AZUL,CIELO AZUL SUBSTATION,LA PAZ,DCRT,AZ,1.0,350.0,350.0,1.0,1000.0,1000.0,0.0,0.0,0.0,4.0,4000.0,4000.0,4.0,4000.0,4000.0,1.0,1000.0,1000.0,2000.0,0.0,1350.0,1350.0,2.96,2.96,0.5,1.0,350.0,0.0,350.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,,,,0.53,none,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
NORTH GILA IMPERIAL VALLEY,NORTH GILA - IMPERIAL VALLEY,IMPERIAL,SDGE,CA,1.0,1150.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,726.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,1150.0,0.0,0.63,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,32.73179965,-115.1034182,North Gila Substation | Imperial Valley Substation,1.0,line-midpoint,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
MANNING MIDWAY,MANNING-MIDWAY,FRESNO,PGAE,CA,1.0,1150.0,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,1150.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,35.4029429,-119.4522985,Midway Substation,0.7,line-one-end,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
KRAMER,KRAMER SUBSTATION,SAN BERNARDINO,SCE,CA,5.0,1050.0,796.0,0.0,0.0,0.0,3.0,432.0,235.7,19.0,3564.76,790.0,1.0,150.0,0.0,0.0,0.0,0.0,395.0,0.0,1050.0,796.0,0.0,2.41,,1.0,200.0,0.0,200.0,0.0,200.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,34.9896952,-117.5421983,Kramer Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
RIO HONDO,RIO HONDO SUBSTATION,LOS ANGELES,SCE,CA,3.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2347.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,1000.0,1000.0,0.0,2.35,,2.0,600.0,600.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,34.1050306,-117.980363,Rio Hondo Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
DIABLO CANYON,DIABLO CANYON,SAN LUIS OBISPO,PGAE,CA,1.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9450.8,756.054,4.0,4900.0,756.054,0.0,0.0,0.0,2900.0,0.0,1000.0,0.0,,9.45,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,35.2161759,-120.8472939,Diablo Canyon,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
COLORADO RIVER PALO VERDE,COLORADO RIVER - PALO VERDE,LA PAZ,SCE,AZ,1.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,,1.0,1000.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,33.5806241,-114.8172191,Colorado River Substation,0.7,line-one-end,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
ARCO,ARCO,KERN,PGAE,CA,5.0,914.9,875.0,0.0,0.0,0.0,1.0,60.0,38.0,18.0,1913.635,419.6,2.0,300.0,300.0,0.0,0.0,0.0,550.0,0.0,914.9,875.0,0.33,1.96,,1.0,100.0,0.0,100.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,60.0,,,0,,,35.2460173,-118.975825,median of located nodes in CA KERN,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
CHINO,CHINO SUBSTATION,SAN BERNARDINO,SCE,CA,1.0,400.0,400.0,1.0,500.0,500.0,0.0,0.0,0.0,5.0,1459.0,949.0,2.0,349.0,349.0,1.0,199.0,199.0,0.0,500.0,900.0,900.0,0.39,1.62,0.72,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,33.998587,-117.6785183,Chino Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
CALCITE,CALCITE SUBSTATION,SAN BERNARDINO,SCE,CA,2.0,255.0,255.0,2.0,638.12,288.0,0.0,0.0,0.0,4.0,521.05,160.7,1.0,200.0,50.0,0.0,0.0,0.0,360.0,0.0,893.12,543.0,0.09,0.58,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,34.7816824,-117.3693963,median of located nodes in CA SAN BERNARDINO,0.3,county-centroid,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
IMPERIAL VALLEY,IMPERIAL VALLEY SUBSTATION,IMPERIAL,SDGE,CA,3.0,875.0,425.0,0.0,0.0,0.0,9.0,1347.0,550.0,40.0,12100.22,3017.79,7.0,2435.0,2385.19,1.0,100.0,50.19,3230.62,0.0,875.0,425.0,2.45,5.45,0.0,3.0,776.6,0.0,776.6,0.0,776.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,32.7179069,-115.7155553,Imperial Valley Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
DEVERS,DEVERS SUBSTATION,RIVERSIDE,SCE,CA,2.0,450.0,390.0,1.0,400.0,400.0,2.0,1250.0,416.0,16.0,5039.0,2800.0,6.0,1529.0,1450.0,0.0,0.0,0.0,929.0,0.0,850.0,790.0,1.2,2.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0,,,33.9379937,-116.5766239,Devers Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
DELANEY,DELANEY SUBSTATION,MARICOPA,DCRT,AZ,3.0,850.0,850.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3249.9969,2822.1969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,850.0,0.0,3.82,,1.0,400.0,0.0,400.0,0.0,400.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,,,,0.71,none,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
LOS BANOS GATES,LOS BANOS - GATES #1,FRESNO,PGAE,CA,0.0,0.0,0.0,1.0,800.0,491.8,0.0,0.0,0.0,3.0,4200.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0,800.0,491.8,0.0,5.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,36.59717105,-120.57308499999999,Los Banos Substation | Gates Substation,1.0,line-midpoint,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
VACA DIXON,VACA-DIXON,SOLANO,PGAE,CA,3.0,800.0,800.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1680.0,1600.0,1.0,700.0,700.0,0.0,0.0,0.0,700.0,0.0,800.0,800.0,0.88,2.1,,2.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,5.0,11.4,0.0,17.3,23.3,,,0,,,38.4034895,-121.9202262,Vaca Dixon Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
GAMEBIRD,GAMEBIRD SUBSTATION,NYE,VEA,NV,3.0,744.0,744.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1199.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.0,744.0,0.0,1.61,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,36.16197,-115.89944,OSM way 439012890 'Gamebird Switchard' power=substation 230 kV (Valley Electric ,1.0,override,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
HASSAYAMPA,HASSAYAMPA,MARICOPA,SDGE,AZ,0.0,0.0,0.0,2.0,700.01,150.0,0.0,0.0,0.0,3.0,575.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.0,700.01,150.0,0.0,0.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,,,,0.63,none,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
LUGO PISGAH,LUGO-PISGAH,SAN BERNARDINO,SCE,CA,0.0,0.0,0.0,1.0,700.0,700.0,0.0,0.0,0.0,8.0,1711.0,0.0,1.0,150.0,0.0,0.0,0.0,0.0,210.0,0.0,700.0,700.0,0.0,2.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,34.5737521,-116.87704595,Lugo Substation | Pisgah Switchyard,1.0,line-midpoint,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
MIRA LOMA,MIRA LOMA SUBSTATION,SAN BERNARDINO,SCE,CA,1.0,300.0,300.0,2.0,360.0,360.0,0.0,0.0,0.0,8.0,3109.0,2049.0,5.0,1699.0,1699.0,1.0,199.0,199.0,500.0,360.0,660.0,660.0,2.57,4.71,0.64,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,34.0080322,-117.5642244,Mira Loma Substation,0.5,ambiguous,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
QUINTO,QUINTO SW STA,MERCED,PGAE,CA,1.0,150.0,150.0,2.0,500.0,500.0,0.0,0.0,0.0,3.0,500.0,128.0,1.0,100.0,100.0,1.0,100.0,100.0,200.0,500.0,650.0,650.0,0.15,0.77,0.83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,,37.119984,-121.0689671,Quinto Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
LOS ESTEROS,LOS ESTEROS,SANTA CLARA,PGAE,CA,3.0,323.0,206.0,1.0,300.0,300.0,0.0,0.0,0.0,5.0,1270.0,1270.0,2.0,750.0,750.0,0.0,0.0,0.0,250.0,300.0,623.0,506.0,1.48,2.04,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,0.0,0.0,1.4,,,0,,,37.4272373,-121.9328297,Los Esteros Substation,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
PISGAH,PISGAH SUBSTATION,SAN BERNARDINO,SCE,CA,1.0,300.0,300.0,2.0,300.01,0.0,0.0,0.0,0.0,15.0,7799.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,1650.0,0.0,600.01,300.0,0.0,13.0,1.0,1.0,60.0,0.0,60.0,0.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,0,,,34.7816824,-116.3846956,Pisgah Switchyard,1.0,exact,publicqueuereport.xlsx+cluster15.xlsx,2026-09-14,8eb6c6f,2026-09-14T20:14:26Z
