@id,@type,@lat,@lon,name,voltage,operator,substation
422524271,way,34.0683997,-118.4254328,Distributing Station 46,34500;4800,Los Angeles Department of Water and Power,distribution
423021853,way,34.0891499,-118.3269911,Distributing Station 6,34500;4800,Los Angeles Department of Water and Power,distribution
423448385,way,34.1003195,-118.3379631,DISTRIBUTING STATION 10,34500;4800,Los Angeles Department of Water and Power,distribution
423863049,way,39.5398510,-119.4370699,Tesla Gigafactory,120000,,industrial
424466579,way,37.7304133,-122.4710037,Station L,,Pacific Gas and Electric Company,distribution
424858446,way,34.1477338,-118.6318509,Valdez Substation,,SoCal Edison,distribution
424941113,way,34.0335944,-118.3933169,Distributing Station 20,34500;4800,Los Angeles Department of Water and Power,distribution
426245932,way,34.0691715,-118.2626166,Distributing Station 26,34500;4800,Los Angeles Department of Water and Power,distribution
426408949,way,33.7294799,-116.3464508,Indian Wells Substation,115000,,
428579897,way,34.0506282,-118.3007727,DISTRIBUTING STATION 17,34500;4800,Los Angeles Department of Water and Power,distribution
428600657,way,34.0220112,-118.3304465,DISTRIBUTING STATION 39,34500;4800,Los Angeles Department of Water and Power,distribution
428614580,way,34.0512765,-118.3638792,DISTRIBUTING STATION 43,34500;4800,Los Angeles Department of Water and Power,distribution
428622633,way,34.0490412,-118.3422719,Distributing Station 8,34500;4800,Los Angeles Department of Water and Power,distribution
428623467,way,34.1347321,-118.2113453,Distributing Station 30,34500;4800,Los Angeles Department of Water and Power,distribution
429315627,way,34.0353223,-118.1927312,DISTRIBUTING STATION 23,34500;4800,Los Angeles Department of Water and Power,distribution
429324506,way,34.0570537,-118.2379952,Plaza Substation,,,
429816503,way,37.6716898,-121.0274125,Prescott Station,,Modesto Irrigation District,minor_distribution
429850577,way,34.1571483,-118.3619619,LADWP Distributing Station No. 35,34500;4800,Los Angeles Department of Water and Power,distribution
432083273,way,34.1474370,-118.4133463,DISTRIBUTING STATION 49,34500;4800,Los Angeles Department of Water and Power,distribution
432157605,way,34.2420136,-118.5299882,Substation D;Cooling Tower,,,
438074694,way,38.5719998,-121.5005020,Station D,115000,Sacramento Municipal Utility District,transmission
439012890,way,36.1619690,-115.8994445,Gamebird Switchard,230000,,
444348841,way,34.1420095,-118.3732184,DISTRIBUTING STATION 98,34500;4800,Los Angeles Department of Water and Power,distribution
448959190,way,34.2000810,-118.5329529,LADWP DIstributing Station No. 24,34500;4800,Los Angeles Department of Water and Power,distribution
455841624,way,39.5305906,-119.8453622,West 7th Street Substation,,NV Energy,
455875595,way,33.5628795,-117.6735440,Trabuco Substation,,,
456601026,way,33.9207920,-118.1274135,Downey Med Substation,,Southern California Edison,
457315602,way,33.8949233,-118.2848307,Distributing Station 143,34500;4800,Los Angeles Department of Water and Power,distribution
459028307,way,38.9625137,-122.6362147,Pacific Gas & Electric,,Pacific Gas and Electric Company,
460186024,way,40.5757488,-122.3537433,Canby Substation,,,yes
460689984,way,38.2019842,-121.8765218,Del Paso Substation,,,
463011258,way,36.1582135,-115.2788339,Westside Substation,230000;138000;69000,,
469210393,way,37.7548687,-122.3859286,Potrero Converter Station,200000,,converter
469325765,way,40.5930211,-122.3698649,Sulphur Creek Substation,,,
469515160,way,37.6089086,-120.9562175,Ceres Substatioon,,TID,yes
475411879,way,32.6689623,-114.6325128,32nd Street Substation,69000,,
475563848,way,32.6837818,-114.5861639,Ivalon Substation,69000,,
475566827,way,32.6609857,-114.5805967,Marine Air Base Substation,69000,,
476479137,way,32.6680192,-114.4960762,Araby Substation,69000,,
476592707,way,37.8129138,-122.2187712,Hollywood Substation,,Pacific Gas and Electric Company,
477585764,way,33.7669760,-118.1518894,Broadway Substation,66000,,
478212302,way,32.6415740,-114.5946532,South O'Neill Substation,69000,,
479169462,way,34.3053289,-118.5005617,LADWP Distributing Station No. 86,34500;4800,Los Angeles Department of Water and Power,distribution
479815613,way,37.0310725,-122.1881401,Port Moretti Substation,,,
480765123,way,33.8251161,-116.5461256,Palm Springs Substation,,Southern California Edison,
480789960,way,38.8093438,-121.7452013,Knights Landing Substation,115000,Pacific Gas and Electric Company,minor_distribution
